user_id,age,gender,location,last_active,session_duration,preferred_category
69c013cc-26e0-47a0-a4d3-9390b57b831b,36,Female,Millerside,2025-01-13 01:31:05,62,Fashion
75a77e9e-9d69-4a1c-b15d-f5f6b6ff9c1a,34,Female,Rojasfort,2025-01-13 21:49:55,84,Sports
29be089c-79a3-4009-aefe-e69602640137,30,Other,Port Heather,2025-01-06 07:54:12,86,Fashion
3d300f91-e402-4db1-b625-4d3e649abca0,48,Female,West Caitlinfurt,2025-01-07 20:07:47,15,Electronics
5a951389-7168-4cb6-a110-fea86b369e06,18,Female,East Lisa,2025-02-07 15:43:27,72,Automotive
5dbc5c2a-fc41-4d2e-987f-abdb1c53ec11,33,Female,Kathleenport,2025-02-10 12:34:40,58,Books
09183dde-3360-41ec-80bf-754491d9345e,44,Other,Jamesfort,2025-01-12 03:08:27,158,Sports
fc660052-ef83-498a-be5e-731b3bd28aee,41,Male,New Brianna,2025-01-02 17:19:07,32,Fashion
35cd13c9-07fb-4025-99e4-d0c3c6a6efff,33,Male,Greeneborough,2025-01-26 05:18:57,116,Fashion
eb8349fe-ec6e-4639-8d33-b7a1bfecaab9,52,Other,North Joshua,2025-01-16 17:10:07,116,Electronics
59236720-1d38-494d-afdf-a79fb32159a7,55,Male,Michaelland,2025-02-04 05:37:52,22,Sports
757b26f2-b63a-4bfc-9b46-52c13a1ed607,43,Female,Rodriguezview,2025-01-06 16:42:54,132,Beauty
9f754838-f659-4b86-9ecb-7d4cb8add4c0,49,Other,Lake Johnville,2025-01-26 00:30:25,12,Automotive
521dd9e5-b717-4f0e-ae73-bb054469c84c,28,Male,Dominguezview,2025-01-26 13:36:07,144,Fashion
3e023e91-ac87-40b3-9c9a-d65891088858,36,Female,Jacobfort,2025-02-02 12:00:06,52,Fashion
58798d34-bf82-4089-b143-c468b26e0708,56,Other,West Joseph,2025-02-11 22:55:43,157,Automotive
dcc30836-9844-4378-a3bc-450dd1615920,65,Female,Lake Ralphland,2025-01-21 20:51:10,43,Beauty
d3e5ff89-ef44-45e8-91f7-38c3a020f772,41,Male,Websterville,2025-01-15 06:30:45,143,Fashion
eed08bd3-2887-4a93-86e3-336adaa71376,38,Female,Lake Jason,2025-02-03 09:44:34,40,Home
31874f85-af4a-4d08-9712-ce44219b7060,24,Other,Williamborough,2025-02-02 03:01:49,88,Beauty
f5bb2ab6-9bc9-44f7-b5ae-20078f86c30e,21,Other,Robinsonville,2025-01-24 12:54:52,162,Beauty
10931201-18c3-4019-aa66-12c5c57f6055,60,Other,New Bonnieview,2025-02-10 06:36:46,138,Electronics
c312a737-4581-4d61-ab7f-110dcbf774c5,61,Male,Maloneberg,2025-01-01 12:07:08,153,Fashion
f542d0d7-71c5-4410-9879-6618b4c7e754,30,Male,Port Mark,2025-01-11 03:28:38,133,Home
43f0bada-819a-4cc0-bedd-facbd53b5ba3,52,Female,Port Jasminestad,2025-01-19 16:53:50,108,Beauty
6bbdcaf3-65d0-49dc-9b96-b1fae696a4dd,46,Other,South Emilymouth,2025-02-03 04:09:15,175,Electronics
bf77c63b-ea61-47ba-9c3e-e3ca4608ee14,20,Female,New Sarah,2025-01-01 01:55:43,52,Sports
4a1eb2f5-8c6f-46ac-a86c-e3604e432107,60,Other,Lake Carol,2025-02-07 06:01:17,54,Books
5fe32d93-76ff-4bb6-9050-a64c3c5fbfe0,59,Other,Gonzalezmouth,2025-01-02 07:16:18,26,Sports
2ba4c38c-341b-40ce-af05-5009353f3932,45,Other,Samanthaville,2025-01-13 19:21:35,34,Electronics
da27354f-4188-4f34-9d66-b3b1b4610675,22,Other,Fosterburgh,2025-01-07 08:17:16,176,Electronics
076607bc-1c68-49d9-9468-db5f5747b1cb,31,Female,South Jeremy,2025-01-19 10:38:02,68,Electronics
a86c5174-0139-4066-8711-77d201e03337,20,Male,Lake Brian,2025-01-25 05:03:32,160,Automotive
752ae1eb-87e3-41c5-a1c8-fce54c7f087f,37,Male,Shannonhaven,2025-02-02 01:29:46,152,Fashion
ea2b18c0-6570-4729-9c77-91741558bdb3,43,Female,Cainmouth,2025-01-13 14:47:43,109,Beauty
b64bdb67-220d-485d-87b0-84c1d47bbebf,50,Male,North Jeffrey,2025-01-04 14:16:10,19,Beauty
d35552a3-e343-45b9-9598-3305a8327ce0,58,Female,Edwardmouth,2025-01-30 01:12:09,179,Fashion
75428a95-2143-4f29-8d58-6574bda1138a,53,Female,Everettstad,2025-01-26 14:12:47,3,Beauty
d644c152-57ec-4eaf-bede-51cad177d918,39,Female,East Brandon,2025-01-13 20:24:52,1,Fashion
b11f2059-53a5-4b66-8bd9-b271c2306526,55,Female,East Dawn,2025-02-08 13:10:53,63,Books
4c32bc22-45f8-44ae-80db-29ac2efcdd91,39,Male,Port Nancyview,2025-01-18 09:58:46,125,Sports
f7fc2e08-a95f-40a3-a730-c6e690b3f588,31,Female,Johnsonport,2025-01-05 05:26:21,137,Automotive
777e6e8c-6841-4d7e-a7b9-24885b9da09e,29,Other,Jasontown,2025-01-01 15:39:04,31,Home
709b4b57-dc7b-4b3d-aee1-5776a6bb9b91,21,Other,Lesliemouth,2025-01-19 05:45:01,90,Home
42b154c3-7a48-409a-a6f0-13c5c2dc7fb1,34,Female,East Robertomouth,2025-01-16 20:45:40,21,Sports
0a8d45fb-5c5e-4db6-983f-2750d084c0c6,46,Female,Aaronland,2025-01-06 02:01:07,106,Electronics
0e27a92e-0503-425d-ab3a-c54d2808ff3b,59,Other,East Phillipfurt,2025-01-31 11:47:37,115,Electronics
09c0ff7e-ae05-4245-9331-92b5f1a70d92,31,Other,Johnport,2025-02-01 20:20:31,21,Books
37f26fe4-fcf3-4723-8dde-5d603bbfdb5a,57,Male,Port Nicholas,2025-01-12 15:19:55,12,Electronics
3b0dd548-3417-49c1-9e0d-2d9a1d320e38,64,Female,North Michaelstad,2025-01-18 00:23:12,102,Automotive
072ebdef-614d-4ef8-8215-4d45722eaa6b,39,Male,South Tyler,2025-02-12 21:48:57,97,Fashion
1816d79b-57f5-441b-a988-037ac1959c03,36,Female,Port Ashley,2025-01-26 22:30:40,144,Automotive
7b29a4f3-7dee-4eb2-a7ab-15588ce56826,40,Other,Barbaraberg,2025-02-04 08:57:17,12,Automotive
0dae79bd-a5a9-4e9c-8e6d-46baf1d9430a,37,Other,New Tylershire,2025-01-04 01:41:10,2,Automotive
fceed5a3-916b-4b18-b97e-c27a00ca90b0,56,Female,Fuentesmouth,2025-01-11 13:27:02,86,Fashion
3c20e836-5c74-46a7-9698-a8b170b00fa1,61,Male,Byrdmouth,2025-02-03 03:23:24,87,Beauty
d0d65b4d-12bb-4efd-b3f7-5ae6dcfe67ac,18,Other,Schroederbury,2025-02-07 01:22:38,62,Sports
02e0cdd9-0114-4385-845e-f4eac7b15247,63,Other,Lake Amberfurt,2025-01-19 00:32:15,152,Electronics
1dafbe75-13fc-44e6-b1a2-7231cc3a4fbe,22,Other,East Tylershire,2025-01-06 15:46:18,99,Books
ff73cd06-6586-4bf0-9e3c-bec7e88df276,19,Other,Maryshire,2025-01-28 11:38:04,156,Electronics
cbadadf8-c124-480c-8e0e-ae93e8d287c1,65,Female,Lake Terri,2025-01-20 01:21:13,58,Automotive
27d351c5-9b8a-454e-85d8-466cc04560ef,59,Male,New Peter,2025-01-16 11:43:14,122,Sports
429dbc8e-bc17-42b8-a214-a9e798bdc873,31,Other,New Patrickhaven,2025-01-30 20:50:24,96,Home
a2575331-b72b-4709-a7ab-1e5b6d8385d8,26,Male,Port Christina,2025-01-31 01:41:47,98,Automotive
ac59267d-f361-4d50-ae2e-1b0be1904758,49,Female,Bergerborough,2025-01-13 13:40:45,48,Electronics
4fc9b087-9042-473f-b197-a8f4f1cfc230,26,Other,Aguirreville,2025-01-11 20:24:50,123,Beauty
c2454cf0-5d30-46b3-a224-6c134cdc6c06,21,Other,Millerton,2025-02-10 17:41:36,48,Sports
d1e6ac2e-7b7f-4460-83c4-b8e0cefd720c,51,Female,New Dorothy,2025-01-23 05:13:24,97,Beauty
38ce8425-2af4-4e1d-bf76-b79d7a7f7455,57,Other,New Lauraborough,2025-01-30 14:27:01,22,Electronics
7f3eaef6-1095-4e28-aaf2-579a33b01dea,60,Male,West Miguelburgh,2025-02-07 02:45:09,42,Sports
2ab8f71e-a55e-4235-a0fc-757f1efa626b,40,Female,Bennettview,2025-01-16 02:16:05,75,Beauty
37de2d5f-3ebc-4c01-af26-3a522c2fc7c9,32,Male,Lake Josephhaven,2025-02-03 18:30:31,163,Books
daa2756c-08c6-48b9-a2f3-5d6a669943f9,59,Other,Walkerport,2025-01-23 04:52:38,48,Automotive
f72c619d-24f5-4e0e-9f6b-a2036d3bcc6c,18,Female,Lake Leslie,2025-01-26 00:06:58,7,Beauty
9aecf28f-ddfa-476c-95a3-7579f77b51a5,45,Female,South Gregorymouth,2025-01-07 07:06:08,151,Fashion
b76b7aab-8add-4ada-bc53-ace9f89fca8c,29,Male,Staceyfort,2025-02-09 19:57:47,25,Automotive
db0c9671-e9c6-4979-a394-555fc2df3622,34,Other,South Carlaside,2025-01-15 03:45:29,168,Electronics
cdcddc46-0f1c-4585-8dd0-25c13e0a7422,46,Other,Jefferymouth,2025-02-04 12:48:57,57,Automotive
294d561a-25d4-4e54-8681-57b7f2c00e35,26,Male,Alexisport,2025-01-16 07:07:10,109,Books
e04a1549-de12-4382-af56-0593b3b9affe,36,Male,Charlesborough,2025-01-05 01:47:40,174,Electronics
e58ba16f-0e62-4242-8790-9bd9233cd32c,57,Male,Lake Matthew,2025-01-08 20:40:59,172,Beauty
de86ed86-bf24-42df-9785-8a0653c58db1,31,Other,Annettetown,2025-01-25 20:16:26,177,Fashion
6063824c-0c61-4ea5-8bb8-d0ee52fc7820,20,Other,Alexanderfurt,2025-01-07 00:40:06,45,Home
9c4e2400-1216-46f2-a2b5-94790e193d77,37,Female,New Troyland,2025-01-28 00:57:11,178,Sports
71d5cf2c-d954-425b-9684-3634dde2dba5,41,Male,Lake Joseph,2025-01-01 01:11:07,133,Books
8e966eb1-5d2d-447e-bb86-e282a5862ae9,43,Male,Carolborough,2025-01-09 22:25:57,18,Fashion
9ae4877f-9a2e-40c0-b790-0938755591a0,62,Male,East Charles,2025-01-21 08:56:19,52,Beauty
951f6597-2667-40e0-b2c3-23e2ece59fba,60,Other,North Blaketon,2025-02-02 03:17:03,87,Sports
056a7045-5449-402e-b1f8-359c3fda4e7f,50,Female,Lake Gregory,2025-02-05 23:20:24,49,Beauty
c2807102-1f38-4952-94f8-22ba238fc96c,57,Male,Port Eric,2025-02-05 13:02:37,13,Sports
0e4baf1a-cbe2-44e4-b869-34f79e0a85fd,44,Male,Andersonshire,2025-02-04 23:17:35,174,Beauty
d3b0262b-e352-4085-901c-8467e1936234,63,Male,Port Keithville,2025-02-01 23:44:48,115,Books
9829dd3c-059d-45d1-bd4c-19edd53e3edb,29,Female,Wilsonborough,2025-01-07 05:28:42,141,Automotive
